date,power
06-08-18 10:45,601441.25
06-08-18 11:00,592886
06-08-18 11:15,583804.75
06-08-18 11:30,591298.8
06-08-18 11:45,604305.25
06-08-18 12:00,586181.25
06-08-18 12:15,563564.25
06-08-18 12:30,581456.1
06-08-18 12:45,594882.25
06-08-18 13:00,632941.44
06-08-18 13:15,556470.4
06-08-18 13:30,544467.6
06-08-18 13:45,544978.6
06-08-18 14:00,535870.1
06-08-18 14:15,533460.6
06-08-18 14:30,549556.94
06-08-18 14:45,524186.72
06-08-18 15:00,552734.2
06-08-18 15:15,531188.75
06-08-18 15:30,529196.75
06-08-18 15:45,538144.75
06-08-18 16:00,517956.56
06-08-18 16:15,523218.66
06-08-18 16:30,532999.5
06-08-18 16:45,480060.03
06-08-18 17:00,451464.7
06-08-18 17:15,483167.47
06-08-18 17:30,440932.06
06-08-18 17:45,451460.7
06-08-18 18:00,414081.97
06-08-18 18:15,412708.78
06-08-18 18:30,403551.78
06-08-18 18:45,379038.38
06-08-18 19:00,345778.56
06-08-18 19:15,302045.1
06-08-18 19:30,302191.16
06-08-18 19:45,296403.8
06-08-18 20:00,299136.66
06-08-18 20:15,303872.38
06-08-18 20:30,282770.9
06-08-18 20:45,267214.62
06-08-18 21:00,269133.56
06-08-18 21:15,251016.84
06-08-18 21:30,272376.8
06-08-18 21:45,275833.22
06-08-18 22:00,249007.16
06-08-18 22:15,237366.92
06-08-18 22:30,246692.4
06-08-18 22:45,221896.44
06-08-18 23:00,227582.55
06-08-18 23:15,226618.48
06-08-18 23:30,214057.06
06-08-18 23:45,230578.12
07-08-18 0:00,227976.12
07-08-18 0:15,226206.45
07-08-18 0:30,218713.16
07-08-18 0:45,225229.39
07-08-18 1:00,215447.75
07-08-18 1:15,224394.28
07-08-18 1:30,214007.14
07-08-18 1:45,216113.08
07-08-18 2:00,208291.5
07-08-18 2:15,216661.9
07-08-18 2:30,231865.55
07-08-18 2:45,221838.28
07-08-18 3:00,229787.2
07-08-18 3:15,235071.02
07-08-18 3:30,234082.84
07-08-18 3:45,238747.97
07-08-18 4:00,239995.34
07-08-18 4:15,242513.4
07-08-18 4:30,241518.45
07-08-18 4:45,238938.02
07-08-18 5:00,252559.22
07-08-18 5:15,250805.81
07-08-18 5:30,376146.62
07-08-18 5:45,416429.03
07-08-18 6:00,413603.94
07-08-18 6:15,371566.9
07-08-18 6:30,379480.25
07-08-18 6:45,406149.7
07-08-18 7:00,371283.75
07-08-18 7:15,435011.38
07-08-18 7:30,470778.22
07-08-18 7:45,516393.22
07-08-18 8:00,473792.22
07-08-18 8:15,474977.2
07-08-18 8:30,540630.06
07-08-18 8:45,515827.9
07-08-18 9:00,631398.44
07-08-18 9:15,547275.44
07-08-18 9:30,644268.4
07-08-18 9:45,605842.94
07-08-18 10:00,641590.9
07-08-18 10:15,625254.5
07-08-18 10:30,595125.5
07-08-18 10:45,634266.25
07-08-18 11:00,619479.94
07-08-18 11:15,582619.06
07-08-18 11:30,608176.1
07-08-18 11:45,611296.1
07-08-18 12:00,607604.5
07-08-18 12:15,609500.75
07-08-18 12:30,594940.5
07-08-18 12:45,583873.56
07-08-18 13:00,603319.3
07-08-18 13:15,647492
07-08-18 13:30,541568.2
07-08-18 13:45,560275.2
07-08-18 14:00,586702.44
07-08-18 14:15,533969.1
07-08-18 14:30,557655.4
07-08-18 14:45,581631.94
07-08-18 15:00,553089.9
07-08-18 15:15,531367.56
07-08-18 15:30,532949
07-08-18 15:45,548274.5
07-08-18 16:00,534674
07-08-18 16:15,612780.1
07-08-18 16:30,537908.94
07-08-18 16:45,483211.3
07-08-18 17:00,452584.97
07-08-18 17:15,449979.75
07-08-18 17:30,482160.28
07-08-18 17:45,452179.25
07-08-18 18:00,453594.8
07-08-18 18:15,425008.62
07-08-18 18:30,423157.1
07-08-18 18:45,395848.1
07-08-18 19:00,382181.66
07-08-18 19:15,337223.66
07-08-18 19:30,308924.53
07-08-18 19:45,318879.88
07-08-18 20:00,320484.56
07-08-18 20:15,309959.06
07-08-18 20:30,279141.4
07-08-18 20:45,269450.47
07-08-18 21:00,254050.25
07-08-18 21:15,241070.66
07-08-18 21:30,252330.66
07-08-18 21:45,250825.47
07-08-18 22:00,231236.38
07-08-18 22:15,233694.5
07-08-18 22:30,218392.58
07-08-18 22:45,220774.28
07-08-18 23:00,223694.64
07-08-18 23:15,218872.61
07-08-18 23:30,209440.25
07-08-18 23:45,227594
08-08-18 0:00,227088.27
08-08-18 0:15,226247.47
08-08-18 0:30,216545.78
08-08-18 0:45,203984.34
08-08-18 1:00,199046.89
08-08-18 1:15,209354.72
08-08-18 1:30,195609.52
08-08-18 1:45,203559.61
08-08-18 2:00,209903.75
08-08-18 2:15,195800.33
08-08-18 2:30,206558.02
08-08-18 2:45,197003.45
08-08-18 3:00,209479.95
08-08-18 3:15,232399.83
08-08-18 3:30,231226.03
08-08-18 3:45,237309.47
08-08-18 4:00,239372.7
08-08-18 4:15,228403.97
08-08-18 4:30,228234.12
08-08-18 4:45,238244.2
08-08-18 5:00,246335.95
08-08-18 5:15,236381.45
08-08-18 5:30,235300
08-08-18 5:45,259650.75
08-08-18 6:00,383386.66
08-08-18 6:15,422380.25
08-08-18 6:30,392916.88
08-08-18 6:45,386168.06
08-08-18 7:00,405639.25
08-08-18 7:15,420593.25
08-08-18 7:30,456793.56
08-08-18 7:45,490083.72
08-08-18 8:00,481526.2
08-08-18 8:15,513338.9
08-08-18 8:30,551914.06
08-08-18 8:45,515351.03
08-08-18 9:00,523360.6
08-08-18 9:15,585529.94
08-08-18 9:30,579605.94
08-08-18 9:45,586452.7
08-08-18 10:00,601388.9
08-08-18 10:15,678582.5
08-08-18 10:30,615571.1
08-08-18 10:45,587961.94
08-08-18 11:00,607056.1
08-08-18 11:15,580106.4
08-08-18 11:30,629811.5
08-08-18 11:45,586891.25
08-08-18 12:00,628899.1
08-08-18 12:15,612756.7
08-08-18 12:30,676356.4
08-08-18 12:45,629828.56
08-08-18 13:00,633404.9
08-08-18 13:15,605030.06
08-08-18 13:30,579346.9
08-08-18 13:45,686397.6
08-08-18 14:00,550988
08-08-18 14:15,534739.94
08-08-18 14:30,556949.6
08-08-18 14:45,560551.25
08-08-18 15:00,570017.9
08-08-18 15:15,598957.6
08-08-18 15:30,562330.9
08-08-18 15:45,575603.9
08-08-18 16:00,602834.8
08-08-18 16:15,570185.56
08-08-18 16:30,518099.84
08-08-18 16:45,518371.88
08-08-18 17:00,476144.03
08-08-18 17:15,503423.84
08-08-18 17:30,494100.12
08-08-18 17:45,491573.22
08-08-18 18:00,458862.44
08-08-18 18:15,420557.7
08-08-18 18:30,423294.72
08-08-18 18:45,422275.53
08-08-18 19:00,360013.8
08-08-18 19:15,359095
08-08-18 19:30,341045.75
08-08-18 19:45,342266.25
08-08-18 20:00,370748.5
08-08-18 20:15,341450.34
08-08-18 20:30,314291.5
08-08-18 20:45,320932.3
08-08-18 21:00,299125.44
08-08-18 21:15,287287.5
08-08-18 21:30,276630.4
08-08-18 21:45,266820.28
08-08-18 22:00,256240.56
08-08-18 22:15,237907.11
08-08-18 22:30,234052.25
08-08-18 22:45,217097.42
08-08-18 23:00,225998.16
08-08-18 23:15,228677.69
08-08-18 23:30,210317.52
08-08-18 23:45,228479.14
09-08-18 0:00,242595.34
09-08-18 0:15,241562.98
09-08-18 0:30,225838.23
09-08-18 0:45,212916.16
09-08-18 1:00,213986.73
09-08-18 1:15,215544.11
09-08-18 1:30,219287.62
09-08-18 1:45,220700.9
09-08-18 2:00,214143.2
09-08-18 2:15,218350.72
09-08-18 2:30,214592.42
09-08-18 2:45,219401.83
09-08-18 3:00,220295.66
09-08-18 3:15,243125.73
09-08-18 3:30,232173.17
09-08-18 3:45,253887.77
09-08-18 4:00,252333.05
09-08-18 4:15,247666.92
09-08-18 4:30,245212.38
09-08-18 4:45,242120.81
09-08-18 5:00,250227.47
09-08-18 5:15,298253.5
09-08-18 5:30,404173.47
09-08-18 5:45,375390.3
09-08-18 6:00,433614.12
09-08-18 6:15,446515.4
09-08-18 6:30,445900.4
09-08-18 6:45,417988.22
09-08-18 7:00,421554.22
09-08-18 7:15,521227.28
09-08-18 7:30,451055.2
09-08-18 7:45,557508.56
09-08-18 8:00,573927.75
09-08-18 8:15,601211.9
